member_id,member_name,phone,gender,age,member_level,balance,points,register_date,is_active
M00001,王五1,18182278248,女,31,银卡会员,289.63,37182,2023-02-10,True
M00002,刘十四2,18871331509,男,55,金卡会员,1994.96,44019,2023-11-29,True
M00003,张二十三3,13310518347,男,52,普通会员,0.0,4652,2023-12-29,True
M00004,周九4,13165667010,女,64,钻石会员,1214.99,30996,2023-07-28,True
M00005,周九5,19726247317,男,21,普通会员,0.0,16295,2023-04-09,True
M00006,孙八6,18773602606,女,47,普通会员,0.0,49385,2023-05-02,True
M00007,王二十四7,18234309805,男,21,钻石会员,3482.96,47874,2023-10-12,False
M00008,孙八8,13913619399,男,57,银卡会员,284.4,33281,2023-02-11,True
M00009,陈十三9,17353462475,男,18,钻石会员,3286.87,37042,2023-09-25,False
M00010,周九10,19425135427,女,57,普通会员,0.0,4801,2023-10-03,True
M00011,郑十一11,13182449353,女,50,金卡会员,4658.78,6788,2023-03-10,False
M00012,张二十三12,18400524278,女,53,金卡会员,4526.68,3329,2023-02-17,True
M00013,钱七13,19059826204,女,20,普通会员,0.0,4931,2023-12-20,True
M00014,刘十四14,19692322602,女,44,银卡会员,3410.33,43708,2023-02-22,True
M00015,杨十五15,13733754330,男,43,金卡会员,795.99,45958,2023-02-25,True
M00016,张二十三16,19685014294,男,24,金卡会员,4321.76,18292,2023-06-29,False
M00017,李二十二17,19169340608,男,41,金卡会员,3642.73,20557,2023-08-12,False
M00018,李二十二18,17148465648,男,30,普通会员,0.0,43531,2023-06-19,False
M00019,马二十一19,17680443699,女,47,钻石会员,3386.59,11405,2023-11-12,False
M00020,陈二十六20,15148951343,男,27,钻石会员,3378.14,33500,2023-08-31,True
M00021,李二十二21,13769367632,男,24,普通会员,0.0,16046,2023-09-01,False
M00022,朱十七22,13831727889,女,46,银卡会员,879.43,45607,2023-09-23,False
M00023,朱十七23,17348734714,男,35,钻石会员,4486.04,48736,2023-09-01,True
M00024,钱七24,15623166587,女,21,金卡会员,4465.13,5280,2023-03-12,True
M00025,张三25,19670546688,男,49,钻石会员,1947.38,38278,2023-12-23,True
M00026,陈十三26,18272980699,男,23,金卡会员,2179.18,1902,2023-07-19,False
M00027,郑十一27,18537556464,男,48,银卡会员,4334.26,11909,2023-01-26,True
M00028,张二十三28,13003309232,女,60,普通会员,0.0,22935,2023-04-25,True
M00029,孙八29,19912419049,女,43,银卡会员,2325.17,16793,2023-07-08,True
M00030,张二十三30,15149190586,女,22,普通会员,0.0,38803,2023-12-20,True
M00031,赵六31,18572628498,女,47,普通会员,0.0,27528,2023-09-08,False
M00032,郑十一32,18379965075,男,49,金卡会员,1611.52,16088,2023-02-14,True
M00033,李二十二33,17808313678,男,62,金卡会员,3989.16,22304,2023-05-24,False
M00034,王十二34,15634957885,女,65,钻石会员,2240.87,1130,2023-02-17,True
M00035,郑十一35,15135182337,女,64,金卡会员,3514.27,17754,2023-06-06,True
M00036,吴十36,17240824008,女,62,普通会员,0.0,12721,2023-06-01,True
M00037,王十二37,18775204711,女,49,钻石会员,512.94,803,2023-10-21,True
M00038,马二十一38,17131869993,女,46,普通会员,0.0,9943,2023-03-18,False
M00039,马二十一39,19091334123,男,53,金卡会员,4300.83,28103,2023-06-06,True
M00040,李二十二40,18403447134,男,45,银卡会员,13.38,29524,2023-12-19,True
M00041,王五41,13249947174,女,35,银卡会员,3238.17,17408,2023-03-14,False
M00042,陈二十六42,17940139904,男,29,钻石会员,402.21,2612,2023-08-10,False
M00043,黄十六43,18175655125,女,62,钻石会员,4580.36,11894,2023-10-27,False
M00044,李四44,18154516808,女,44,金卡会员,3312.92,26244,2023-10-09,True
