order_id,store_id,store_name,member_id,member_name,order_datetime,order_date,time_slot,weekday,people_count,dish_count,subtotal,discount_amount,total_amount,payment_method,promotion_id,promotion_name,order_status
O001000,S009,南京新街口店,M00031,赵六31,2024-06-09 12:53:00,2024-06-09,12:00-14:00,Sunday,5,6,467.39,0.0,467.39,现金,,,已取消
O001001,S009,南京新街口店,M00011,郑十一11,2024-04-27 10:50:00,2024-04-27,10:00-12:00,Saturday,2,4,242.83,0.0,242.83,会员余额,,,已完成
O001002,S002,上海南京路店,,,2024-05-24 11:50:00,2024-05-24,10:00-12:00,Friday,8,3,246.14,0.0,246.14,银行卡,,,已完成
O001003,S009,南京新街口店,,,2024-02-14 14:25:00,2024-02-14,14:00-16:00,Wednesday,8,6,344.6,38.0,306.6,微信支付,P0010,节日促销10,已完成
O001004,S004,深圳南山店,M00120,王十二120,2024-04-05 10:21:00,2024-04-05,10:00-12:00,Friday,3,3,386.16,0.0,386.16,微信支付,,,已完成
O001005,S002,上海南京路店,M00027,郑十一27,2024-04-23 15:17:00,2024-04-23,14:00-16:00,Tuesday,7,1,72.75,0.0,72.75,微信支付,P0013,节日促销13,已完成
O001006,S005,杭州西湖店,,,2024-05-12 15:52:00,2024-05-12,14:00-16:00,Sunday,7,1,132.66,0.0,132.66,会员余额,P0014,新店开业优惠14,已完成
O001007,S009,南京新街口店,,,2024-05-14 19:01:00,2024-05-14,18:00-20:00,Tuesday,8,2,90.42,0.0,90.42,微信支付,P0013,节日促销13,已完成
O001008,S007,武汉江汉店,,,2024-04-02 21:12:00,2024-04-02,20:00-22:00,Tuesday,6,5,403.57,0.0,403.57,支付宝,P0014,新店开业优惠14,已完成
O001009,S006,成都春熙店,M00198,马二十一198,2024-06-01 17:11:00,2024-06-01,16:00-18:00,Saturday,1,5,446.09,0.0,446.09,支付宝,,,已完成
O001010,S006,成都春熙店,M00157,杨十五157,2024-01-13 12:54:00,2024-01-13,12:00-14:00,Saturday,7,2,306.86,38.0,268.86,支付宝,P0010,节日促销10,已取消
O001011,S003,广州天河店,M00027,郑十一27,2024-01-06 20:00:00,2024-01-06,20:00-22:00,Saturday,5,2,48.16,0.0,48.16,支付宝,,,已完成
O001012,S002,上海南京路店,M00107,周九107,2024-04-18 16:54:00,2024-04-18,16:00-18:00,Thursday,2,4,591.99,0.0,591.99,会员余额,,,已完成
O001013,S004,深圳南山店,M00175,王五175,2024-05-10 20:53:00,2024-05-10,20:00-22:00,Friday,6,5,685.96,0.0,685.96,微信支付,,,已完成
O001014,S004,深圳南山店,,,2024-06-12 15:55:00,2024-06-12,14:00-16:00,Wednesday,7,6,316.53,0.0,316.53,会员余额,P0013,节日促销13,已完成
O001015,S004,深圳南山店,,,2024-06-23 12:46:00,2024-06-23,12:00-14:00,Sunday,1,3,258.42,0.0,258.42,银行卡,,,已取消
O001016,S004,深圳南山店,M00116,陈二十六116,2024-05-26 13:21:00,2024-05-26,12:00-14:00,Sunday,3,5,660.73,0.0,660.73,微信支付,,,已完成
O001017,S001,北京王府井店,M00186,钱七186,2024-01-25 17:08:00,2024-01-25,16:00-18:00,Thursday,4,5,353.99,38.0,315.99,支付宝,P0010,节日促销10,已完成
O001018,S005,杭州西湖店,,,2024-04-17 15:23:00,2024-04-17,14:00-16:00,Wednesday,2,1,97.22,0.0,97.22,微信支付,,,已完成
O001019,S006,成都春熙店,M00058,王二十四58,2024-02-19 18:07:00,2024-02-19,18:00-20:00,Monday,6,3,264.54,0.0,264.54,微信支付,,,已完成
O001020,S006,成都春熙店,M00164,陈二十六164,2024-05-25 17:09:00,2024-05-25,16:00-18:00,Saturday,3,1,162.96,38.0,124.96,现金,P0010,节日促销10,已完成
O001021,S004,深圳南山店,M00103,王五103,2024-06-11 10:00:00,2024-06-11,10:00-12:00,Tuesday,3,2,79.83,0.0,79.83,微信支付,,,已取消
O001022,S005,杭州西湖店,M00002,刘十四2,2024-04-21 20:27:00,2024-04-21,20:00-22:00,Sunday,6,4,261.8,28.8,233.0,微信支付,P0011,夏日清凉11,已取消
O001023,S007,武汉江汉店,,,2024-02-18 10:43:00,2024-02-18,10:00-12:00,Sunday,3,2,266.69,29.34,237.35,现金,P0011,夏日清凉11,已完成
O001024,S010,重庆解放碑店,M00037,王十二37,2024-04-08 18:37:00,2024-04-08,18:00-20:00,Monday,6,1,109.54,0.0,109.54,支付宝,,,已完成
O001025,S008,西安雁塔店,M00158,马二十一158,2024-06-24 12:21:00,2024-06-24,12:00-14:00,Monday,4,2,204.03,0.0,204.03,微信支付,,,已完成
O001026,S001,北京王府井店,M00169,郑十一169,2024-02-24 21:01:00,2024-02-24,20:00-22:00,Saturday,5,3,300.96,0.0,300.96,会员余额,,,已取消
O001027,S010,重庆解放碑店,M00112,王二十四112,2024-06-08 10:38:00,2024-06-08,10:00-12:00,Saturday,5,6,461.41,38.0,423.41,微信支付,P0010,节日促销10,已完成
O001028,S003,广州天河店,M00090,吴十90,2024-06-28 12:13:00,2024-06-28,12:00-14:00,Friday,3,3,411.08,45.22,365.86,支付宝,P0011,夏日清凉11,已完成
O001029,S006,成都春熙店,M00001,王五1,2024-01-27 18:46:00,2024-01-27,18:00-20:00,Saturday,4,1,102.3,0.0,102.3,会员余额,,,已完成
O001030,S006,成都春熙店,M00094,刘二十五94,2024-05-13 13:22:00,2024-05-13,12:00-14:00,Monday,8,1,88.8,0.0,88.8,微信支付,,,已完成
O001031,S006,成都春熙店,M00056,陈二十六56,2024-03-01 10:00:00,2024-03-01,10:00-12:00,Friday,2,5,586.64,0.0,586.64,微信支付,P0007,周末特惠7,已完成
O001032,S006,成都春熙店,M00178,刘十四178,2024-06-13 13:29:00,2024-06-13,12:00-14:00,Thursday,6,4,258.34,0.0,258.34,现金,,,已完成
O001033,S009,南京新街口店,,,2024-04-19 21:07:00,2024-04-19,20:00-22:00,Friday,3,1,13.71,0.0,13.71,支付宝,P0010,节日促销10,已完成
O001034,S005,杭州西湖店,,,2024-04-01 17:39:00,2024-04-01,16:00-18:00,Monday,7,3,96.17,0.0,96.17,银行卡,P0007,周末特惠7,已完成
O001035,S007,武汉江汉店,M00142,陈十三142,2024-03-10 16:44:00,2024-03-10,16:00-18:00,Sunday,2,6,450.02,0.0,450.02,支付宝,P0014,新店开业优惠14,已完成
O001036,S007,武汉江汉店,M00165,王十二165,2024-05-31 17:51:00,2024-05-31,16:00-18:00,Friday,8,5,502.68,0.0,502.68,支付宝,,,已完成
O001037,S004,深圳南山店,,,2024-04-15 17:02:00,2024-04-15,16:00-18:00,Monday,4,1,143.82,38.0,105.82,会员余额,P0010,节日促销10,已完成
O001038,S008,西安雁塔店,M00067,赵六67,2024-05-12 18:44:00,2024-05-12,18:00-20:00,Sunday,3,6,685.04,0.0,685.04,银行卡,,,已取消
O001039,S005,杭州西湖店,M00135,周九135,2024-06-05 10:00:00,2024-06-05,10:00-12:00,Wednesday,6,4,323.24,0.0,323.24,微信支付,,,已完成
O001040,S005,杭州西湖店,M00113,杨十五113,2024-01-13 18:14:00,2024-01-13,18:00-20:00,Saturday,8,2,229.94,0.0,229.94,会员余额,,,已完成
O001041,S006,成都春熙店,,,2024-05-07 17:20:00,2024-05-07,16:00-18:00,Tuesday,1,6,478.69,0.0,478.69,会员余额,,,已完成
O001042,S007,武汉江汉店,M00040,李二十二40,2024-06-03 19:40:00,2024-06-03,18:00-20:00,Monday,6,2,320.55,0.0,320.55,银行卡,,,已完成
O001043,S005,杭州西湖店,M00181,王五181,2024-01-14 13:54:00,2024-01-14,12:00-14:00,Sunday,2,5,562.96,0.0,562.96,微信支付,,,已完成
O001044,S004,深圳南山店,M00134,陈二十六134,2024-01-01 15:22:00,2024-01-01,14:00-16:00,Monday,3,3,363.67,40.0,323.67,微信支付,P0011,夏日清凉11,已完成
O001045,S002,上海南京路店,M00189,张二十三189,2024-02-05 21:47:00,2024-02-05,20:00-22:00,Monday,6,5,267.81,0.0,267.81,微信支付,,,已完成
O001046,S007,武汉江汉店,M00068,王十二68,2024-04-16 10:59:00,2024-04-16,10:00-12:00,Tuesday,3,1,97.52,0.0,97.52,银行卡,P0007,周末特惠7,已完成
O001047,S007,武汉江汉店,,,2024-01-02 18:47:00,2024-01-02,18:00-20:00,Tuesday,3,5,589.21,64.81,524.4,支付宝,P0011,夏日清凉11,已完成
O001048,S010,重庆解放碑店,M00143,张三143,2024-04-09 20:38:00,2024-04-09,20:00-22:00,Tuesday,7,4,557.44,0.0,557.44,现金,,,已完成
O001049,S005,杭州西湖店,,,2024-03-16 17:51:00,2024-03-16,16:00-18:00,Saturday,4,6,746.76,0.0,746.76,会员余额,,,已完成
O001050,S008,西安雁塔店,,,2024-02-23 19:45:00,2024-02-23,18:00-20:00,Friday,2,6,567.82,0.0,567.82,现金,,,已完成
O001051,S010,重庆解放碑店,M00120,王十二120,2024-05-23 17:37:00,2024-05-23,16:00-18:00,Thursday,2,4,549.77,0.0,549.77,微信支付,P0007,周末特惠7,已完成
O001052,S006,成都春熙店,M00070,张三70,2024-04-07 12:03:00,2024-04-07,12:00-14:00,Sunday,1,2,70.49,0.0,70.49,微信支付,,,已完成
O001053,S005,杭州西湖店,M00185,李四185,2024-02-22 18:02:00,2024-02-22,18:00-20:00,Thursday,7,5,397.81,0.0,397.81,会员余额,,,已完成
O001054,S001,北京王府井店,M00121,王十二121,2024-05-10 21:18:00,2024-05-10,20:00-22:00,Friday,1,4,272.75,0.0,272.75,微信支付,,,已完成
O001055,S009,南京新街口店,M00182,张三182,2024-02-21 19:55:00,2024-02-21,18:00-20:00,Wednesday,4,2,328.23,0.0,328.23,会员余额,P0013,节日促销13,已完成
O001056,S003,广州天河店,M00063,李四63,2024-03-16 17:11:00,2024-03-16,16:00-18:00,Saturday,7,2,281.76,0.0,281.76,微信支付,,,已完成
O001057,S005,杭州西湖店,,,2024-04-19 14:35:00,2024-04-19,14:00-16:00,Friday,1,3,133.3,0.0,133.3,支付宝,,,已完成
O001058,S003,广州天河店,M00037,王十二37,2024-03-23 19:03:00,2024-03-23,18:00-20:00,Saturday,4,6,559.96,0.0,559.96,现金,P0013,节日促销13,已完成
O001059,S009,南京新街口店,M00186,钱七186,2024-05-13 11:50:00,2024-05-13,10:00-12:00,Monday,6,5,302.52,0.0,302.52,支付宝,,,已完成
O001060,S004,深圳南山店,M00138,孙八138,2024-02-25 19:33:00,2024-02-25,18:00-20:00,Sunday,4,6,335.03,0.0,335.03,会员余额,,,已完成
O001061,S005,杭州西湖店,M00114,陈二十六114,2024-06-23 15:24:00,2024-06-23,14:00-16:00,Sunday,6,4,410.1,45.11,364.99,会员余额,P0011,夏日清凉11,已取消
O001062,S010,重庆解放碑店,,,2024-05-10 17:31:00,2024-05-10,16:00-18:00,Friday,2,2,266.79,38.0,228.79,微信支付,P0010,节日促销10,已完成
O001063,S008,西安雁塔店,M00121,王十二121,2024-05-17 18:00:00,2024-05-17,18:00-20:00,Friday,2,6,408.07,0.0,408.07,会员余额,,,已完成
O001064,S002,上海南京路店,M00174,杨十五174,2024-01-07 17:45:00,2024-01-07,16:00-18:00,Sunday,2,1,52.56,0.0,52.56,会员余额,,,已取消
O001065,S008,西安雁塔店,M00118,黄十六118,2024-02-28 14:26:00,2024-02-28,14:00-16:00,Wednesday,1,4,316.1,0.0,316.1,会员余额,P0014,新店开业优惠14,已取消
O001066,S010,重庆解放碑店,,,2024-01-17 21:37:00,2024-01-17,20:00-22:00,Wednesday,2,3,221.39,0.0,221.39,现金,P0007,周末特惠7,已完成
O001067,S010,重庆解放碑店,M00045,张二十三45,2024-04-22 16:25:00,2024-04-22,16:00-18:00,Monday,7,2,129.89,0.0,129.89,会员余额,,,已取消
O001068,S009,南京新街口店,,,2024-03-16 20:09:00,2024-03-16,20:00-22:00,Saturday,1,6,616.27,0.0,616.27,微信支付,P0014,新店开业优惠14,已完成
O001069,S009,南京新街口店,M00015,杨十五15,2024-05-26 19:25:00,2024-05-26,18:00-20:00,Sunday,7,3,404.73,0.0,404.73,微信支付,P0014,新店开业优惠14,已取消
O001070,S007,武汉江汉店,,,2024-02-06 12:11:00,2024-02-06,12:00-14:00,Tuesday,1,2,79.34,8.73,70.61,会员余额,P0011,夏日清凉11,已取消
O001071,S008,西安雁塔店,,,2024-04-28 20:35:00,2024-04-28,20:00-22:00,Sunday,8,3,110.66,0.0,110.66,会员余额,P0014,新店开业优惠14,已完成
O001072,S008,西安雁塔店,M00092,刘二十五92,2024-04-01 12:42:00,2024-04-01,12:00-14:00,Monday,5,5,427.43,0.0,427.43,会员余额,,,已取消
O001073,S004,深圳南山店,M00070,张三70,2024-02-09 19:36:00,2024-02-09,18:00-20:00,Friday,7,4,125.47,0.0,125.47,会员余额,,,已完成
O001074,S005,杭州西湖店,M00129,高二十129,2024-04-02 12:43:00,2024-04-02,12:00-14:00,Tuesday,3,4,296.96,0.0,296.96,微信支付,P0014,新店开业优惠14,已取消
O001075,S006,成都春熙店,M00054,林十八54,2024-01-21 14:54:00,2024-01-21,14:00-16:00,Sunday,2,2,261.57,38.0,223.57,会员余额,P0010,节日促销10,已完成
O001076,S009,南京新街口店,M00178,刘十四178,2024-05-09 20:01:00,2024-05-09,20:00-22:00,Thursday,8,5,314.39,0.0,314.39,会员余额,,,已完成
O001077,S003,广州天河店,M00150,朱十七150,2024-04-03 16:14:00,2024-04-03,16:00-18:00,Wednesday,7,3,136.54,0.0,136.54,微信支付,,,已完成
O001078,S003,广州天河店,,,2024-05-08 10:42:00,2024-05-08,10:00-12:00,Wednesday,3,5,290.38,31.94,258.44,支付宝,P0011,夏日清凉11,已取消
O001079,S007,武汉江汉店,M00160,黄十六160,2024-05-24 20:55:00,2024-05-24,20:00-22:00,Friday,5,4,369.37,0.0,369.37,微信支付,P0013,节日促销13,已完成
O001080,S002,上海南京路店,,,2024-02-29 10:42:00,2024-02-29,10:00-12:00,Thursday,1,3,172.82,19.01,153.81,微信支付,P0011,夏日清凉11,已完成
O001081,S007,武汉江汉店,M00063,李四63,2024-01-27 21:33:00,2024-01-27,20:00-22:00,Saturday,6,6,516.69,0.0,516.69,银行卡,,,已取消
O001082,S004,深圳南山店,,,2024-06-16 11:33:00,2024-06-16,10:00-12:00,Sunday,6,2,157.44,0.0,157.44,现金,P0007,周末特惠7,已完成
O001083,S007,武汉江汉店,M00151,马二十一151,2024-05-03 19:00:00,2024-05-03,18:00-20:00,Friday,5,2,109.41,0.0,109.41,会员余额,,,已完成
O001084,S002,上海南京路店,M00057,钱七57,2024-02-08 12:10:00,2024-02-08,12:00-14:00,Thursday,6,1,143.82,0.0,143.82,支付宝,P0007,周末特惠7,已完成
O001085,S009,南京新街口店,M00083,吴十83,2024-05-03 20:30:00,2024-05-03,20:00-22:00,Friday,3,6,453.2,0.0,453.2,微信支付,,,已取消
O001086,S010,重庆解放碑店,,,2024-01-11 19:09:00,2024-01-11,18:00-20:00,Thursday,1,2,120.44,0.0,120.44,会员余额,,,已完成
O001087,S005,杭州西湖店,M00197,张二十三197,2024-01-22 13:28:00,2024-01-22,12:00-14:00,Monday,3,4,284.82,0.0,284.82,会员余额,,,已取消
O001088,S001,北京王府井店,,,2024-06-17 18:16:00,2024-06-17,18:00-20:00,Monday,7,4,200.82,38.0,162.82,银行卡,P0010,节日促销10,已完成
O001089,S005,杭州西湖店,M00151,马二十一151,2024-01-28 10:12:00,2024-01-28,10:00-12:00,Sunday,1,6,389.32,0.0,389.32,会员余额,P0014,新店开业优惠14,已取消
O001090,S009,南京新街口店,M00013,钱七13,2024-05-08 11:05:00,2024-05-08,10:00-12:00,Wednesday,7,5,590.13,0.0,590.13,会员余额,,,已完成
O001091,S006,成都春熙店,M00130,李四130,2024-01-12 21:33:00,2024-01-12,20:00-22:00,Friday,7,4,364.31,0.0,364.31,微信支付,P0007,周末特惠7,已完成
O001092,S003,广州天河店,,,2024-03-06 17:49:00,2024-03-06,16:00-18:00,Wednesday,4,3,317.87,38.0,279.87,现金,P0010,节日促销10,已完成
O001093,S006,成都春熙店,,,2024-01-02 19:33:00,2024-01-02,18:00-20:00,Tuesday,7,6,317.85,0.0,317.85,支付宝,,,已取消
O001094,S007,武汉江汉店,M00193,张三193,2024-03-05 14:54:00,2024-03-05,14:00-16:00,Tuesday,8,5,359.92,0.0,359.92,会员余额,,,已完成
O001095,S007,武汉江汉店,M00129,高二十129,2024-04-04 18:35:00,2024-04-04,18:00-20:00,Thursday,4,5,564.42,0.0,564.42,会员余额,P0007,周末特惠7,已完成
